procedure,procedure_slug,city,city_slug,low,mid,high,source_url,sample_size,last_updated_UTC
Brazilian Butt Lift (BBL),brazilian-butt-lift,Atlanta,atlanta,8600,10750,12900,https://www.realself.com/surgical/brazilian-butt-lift/cost,1,2025-07-02T03:22:06.794Z
Breast Augmentation,breast-augmentation,Atlanta,atlanta,5500,6865,8200,https://www.realself.com/surgical/breast-augmentation/cost,1,2025-07-02T03:22:06.794Z
Tummy Tuck,tummy-tuck,Atlanta,atlanta,8000,9951,11900,https://www.realself.com/surgical/tummy-tuck/cost,1,2025-07-02T03:22:06.794Z
Lipo 360,lipo-360,Atlanta,atlanta,6400,7989,9600,https://www.realself.com/surgical/liposuction/cost,1,2025-07-02T03:22:06.794Z
Rhinoplasty,rhinoplasty,Atlanta,atlanta,7400,9291,11100,https://www.realself.com/surgical/rhinoplasty/cost,1,2025-07-02T03:22:06.794Z
Liposuction,liposuction,Atlanta,atlanta,6400,7989,9600,https://www.realself.com/surgical/liposuction/cost,1,2025-07-02T03:22:06.794Z
Fat Transfer,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Arm Lift,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Breast Lift,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Neck Lift,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Butt Lift,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Chin Liposuction,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Chin Augmentation,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Eyelid Surgery,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Mommy Makeover,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Breast Reconstruction,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Thigh Lift,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Breast Implants,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Cheek Implants,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Vaginal Rejuvenation,,Atlanta,,,,,,1,2025-07-02T03:22:06.794Z
Brazilian Butt Lift (BBL),brazilian-butt-lift,Dallas,dallas,7600,9496,11400,https://www.realself.com/surgical/brazilian-butt-lift/cost,1,2025-07-02T03:22:06.794Z
Breast Lift,breast-lift,Dallas,dallas,6400,8060,9700,https://www.realself.com/surgical/breast-lift/cost,2,2025-07-02T03:22:06.794Z
Breast Augmentation,breast-augmentation,Dallas,dallas,5500,6895,8300,https://www.realself.com/surgical/breast-augmentation/cost,1,2025-07-02T03:22:06.794Z
Tummy Tuck,tummy-tuck,Dallas,dallas,10100,12626,15200,https://www.realself.com/surgical/tummy-tuck/cost,1,2025-07-02T03:22:06.794Z
Liposuction,liposuction,Dallas,dallas,7400,9239,11100,https://www.realself.com/surgical/liposuction/cost,1,2025-07-02T03:22:06.794Z
Fat Transfer,fat-transfer,Dallas,dallas,7400,9239,11100,https://www.realself.com/surgical/liposuction/cost,1,2025-07-02T03:22:06.794Z
Mommy Makeover,,Dallas,,,,,,1,2025-07-02T03:22:06.794Z
Breast Lift,,Dallas,,,,,,2,2025-07-02T03:22:06.794Z
Neck Lift,,Dallas,,,,,,1,2025-07-02T03:22:06.794Z
Lipo 360,,Dallas,,,,,,1,2025-07-02T03:22:06.794Z
Arm Lift,,Dallas,,,,,,1,2025-07-02T03:22:06.794Z
Body Contouring,,Dallas,,,,,,1,2025-07-02T03:22:06.794Z
Chin Augmentation,,Dallas,,,,,,2,2025-07-02T03:22:06.794Z
Butt Lift,,Dallas,,,,,,1,2025-07-02T03:22:06.794Z
Eyelid Surgery,,Dallas,,,,,,1,2025-07-02T03:22:06.794Z
Chin Liposuction,,Dallas,,,,,,1,2025-07-02T03:22:06.794Z
Chin Augmentation,,Dallas,,,,,,2,2025-07-02T03:22:06.794Z
Breast Implants,,Dallas,,,,,,1,2025-07-02T03:22:06.794Z
Breast Reconstruction,,Dallas,,,,,,1,2025-07-02T03:22:06.794Z
Male Breast Reduction (Gynecomastia),,Dallas,,,,,,1,2025-07-02T03:22:06.794Z
Brazilian Butt Lift (BBL),brazilian-butt-lift,Houston,houston,10000,12490,15000,https://www.realself.com/surgical/brazilian-butt-lift/cost,1,2025-07-02T03:22:06.794Z
Breast Augmentation,breast-augmentation,Houston,houston,5500,6815,8200,https://www.realself.com/surgical/breast-augmentation/cost,1,2025-07-02T03:22:06.794Z
Tummy Tuck,tummy-tuck,Houston,houston,11700,14664,17600,https://www.realself.com/surgical/tummy-tuck/cost,1,2025-07-02T03:22:06.794Z
Mommy Makeover,mommy-makeover,Houston,houston,17000,21198,25400,https://www.realself.com/surgical/mommy-makeover/cost,1,2025-07-02T03:22:06.794Z
Lipo 360,lipo-360,Houston,houston,6500,8121,9700,https://www.realself.com/surgical/liposuction/cost,3,2025-07-02T03:22:06.794Z
Rhinoplasty,rhinoplasty,Houston,houston,7500,9418,11300,https://www.realself.com/surgical/rhinoplasty/cost,1,2025-07-02T03:22:06.794Z
Fat Transfer,,Houston,,,,,,1,2025-07-02T03:22:06.794Z
Lipo 360,,Houston,,,,,,3,2025-07-02T03:22:06.794Z
Arm Lift,,Houston,,,,,,1,2025-07-02T03:22:06.794Z
